metro_id,tract_id,year,entropy,distmiles,metro_name
42660,53033000100,1990,0.48926146101554485,8.157744806568402,Seattle
42660,53033000100,2000,0.6879067528127242,8.157744806568402,Seattle
42660,53033000100,2010,0.7456907690435562,8.157744806568402,Seattle
42660,53033000100,2020,0.7832129764281454,8.157744806568402,Seattle
42660,53033000200,1990,0.4042209549298274,8.018732864796249,Seattle
42660,53033000200,2000,0.5596233555182721,8.018732864796249,Seattle
42660,53033000200,2010,0.6332513603168336,8.018732864796249,Seattle
42660,53033000200,2020,0.714307446117277,8.018732864796249,Seattle
42660,53033000300,1990,0.40826241814555825,8.267920668344685,Seattle
42660,53033000300,2000,0.5723680511437551,8.267920668344685,Seattle
42660,53033000300,2010,0.6388129556104959,8.267920668344685,Seattle
42660,53033000300,2020,0.67484291511610806,8.267920668344685,Seattle
42660,53033000401,1990,0.3427287043213747,8.299491281157014,Seattle
42660,53033000401,2000,0.5572862131197787,8.299491281157014,Seattle
42660,53033000401,2010,0.6746565431034632,8.299491281157014,Seattle
42660,53033000401,2020,0.769289611546508,8.299491281157014,Seattle
42660,53033000402,1990,0.30508017583870733,7.149603434727301,Seattle
42660,53033000402,2000,0.4712575384176899,7.149603434727301,Seattle
42660,53033000402,2010,0.5190894586101091,7.149603434727301,Seattle
42660,53033000402,2020,0.6067011395216343,7.149603434727301,Seattle
42660,53033000500,1990,0.17165571354201525,7.408422094463726,Seattle
42660,53033000500,2000,0.289026734209064,7.408422094463726,Seattle
42660,53033000500,2010,0.31466549843416736,7.408422094463726,Seattle
42660,53033000500,2020,0.4171498168681928,7.408422094463726,Seattle
42660,53033000600,1990,0.38968324088962775,7.141102146599293,Seattle
42660,53033000600,2000,0.6318050078827417,7.141102146599293,Seattle
42660,53033000600,2010,0.6683129389446585,7.141102146599293,Seattle
42660,53033000600,2020,0.7494203648354495,7.141102146599293,Seattle
42660,53033000700,1990,0.3650416453490746,7.55426761597692,Seattle
42660,53033000700,2000,0.6241831633399157,7.55426761597692,Seattle
42660,53033000700,2010,0.6898621595431177,7.55426761597692,Seattle
42660,53033000700,2020,0.7550236568183724,7.55426761597692,Seattle
42660,53033000800,1990,0.3399487159205666,7.239733707552367,Seattle
42660,53033000800,2000,0.4635818385083444,7.239733707552367,Seattle
42660,53033000800,2010,0.49989552560589656,7.239733707552367,Seattle
42660,53033000800,2020,0.5555388872550306,7.239733707552367,Seattle
42660,53033000900,1990,0.2309775999031143,6.881394242803654,Seattle
42660,53033000900,2000,0.31299539106987256,6.881394242803654,Seattle
42660,53033000900,2010,0.39636288047909074,6.881394242803654,Seattle
42660,53033000900,2020,0.5331637605711346,6.881394242803654,Seattle
42660,53033001000,1990,0.4079910154264337,6.873336345658936,Seattle
42660,53033001000,2000,0.5169118682025946,6.873336345658936,Seattle
42660,53033001000,2010,0.6219798205441802,6.873336345658936,Seattle
42660,53033001000,2020,0.6725412599737707,6.873336345658936,Seattle
42660,53033001100,1990,0.34050812774341704,6.7600374888727,Seattle
42660,53033001100,2000,0.495879703733662,6.7600374888727,Seattle
42660,53033001100,2010,0.5547440012485485,6.7600374888727,Seattle
42660,53033001100,2020,0.6225522400176178,6.7600374888727,Seattle
42660,53033001200,1990,0.4619392106630898,6.765280681703982,Seattle
42660,53033001200,2000,0.6389022316252813,6.765280681703982,Seattle
42660,53033001200,2010,0.7099216363234475,6.765280681703982,Seattle
42660,53033001200,2020,0.7633961583000632,6.765280681703982,Seattle
42660,53033001300,1990,0.42910024791182755,6.486024256430803,Seattle
42660,53033001300,2000,0.6387793210883935,6.486024256430803,Seattle
